epoch,train_loss,train_acc,test_loss,test_acc
0,4.676777520546547,1.0616987179487178,4.606658863115914,1.85
1,4.37479806129749,4.799679487179487,3.7045735980890973,13.8
2,4.2191043272996565,7.053285256410256,3.4774163161651996,18.65
3,4.101229607141935,8.657852564102564,3.1994433885888207,22.54
4,4.009564224878947,11.023637820512821,3.0713246653351605,25.15
5,3.9040630768506954,13.383413461538462,2.778580234020571,31.19
6,3.8053573755117562,15.807291666666666,2.662736744820317,32.66
7,3.740435195580507,16.211939102564102,2.4499440253535405,37.99
8,3.649529039554107,17.612179487179485,2.4059605115576637,39.8
9,3.6076509732466477,19.487179487179485,2.202869362468961,44.52
10,3.509066014412122,22.065304487179485,2.169637501994266,44.04
11,3.4684923813893245,22.315705128205128,2.0565258219272278,47.82
12,3.4383390353276178,23.020833333333332,2.0674219040931026,46.98
13,3.4245688462868715,23.75801282051282,2.0794588840460477,48.79
14,3.3908658681771695,23.046875,2.154305156273178,45.34
15,3.344414277565785,24.78565705128205,1.9749754803090156,51.72
16,3.309164728873815,26.370192307692307,1.928336436235452,50.88
17,3.315137489636739,24.561298076923077,1.775025470347344,56.16
18,3.258104238143334,27.692307692307693,1.7959606587132322,55.08
19,3.257153758024558,28.297275641025642,1.7060939345178725,57.06
20,3.2239174885627553,27.021233974358974,1.8475552902945989,55.3
21,3.164993989161956,29.631410256410255,1.7312301518041877,57.2
22,3.128999115870549,30.108173076923077,1.631596396241007,60.27
23,3.1631406172727927,31.235977564102566,1.5694445537615427,59.3
24,3.1282216643675778,31.21794871794872,1.695034250428405,58.73
25,3.034421142859337,32.419871794871796,1.5157223351394074,61.88
26,3.1248726395460276,28.68389423076923,1.5336842099322547,63.87
27,2.961754077520126,34.41907051282051,1.4052692244324503,64.2
28,2.99929614342176,33.27724358974359,1.4835196627846248,63.66
29,3.0409220698552253,32.49198717948718,1.4505537190014803,64.02
30,3.0112187758470195,32.19751602564103,1.4707554126087623,64.62
31,2.949207850297292,35.46474358974359,1.4310948863814148,66.14
32,2.9214144349098206,33.58774038461539,1.4768956597847274,65.28
33,2.9780800694074387,34.80969551282051,1.425571772116649,65.27
34,2.946564615995456,35.26241987179487,1.3860478884057155,66.31
35,2.9004999093520336,33.78605769230769,1.3469086281860931,67.18
36,2.928183483466124,34.23277243589744,1.426253080368042,66.16
37,2.926688506970039,34.60336538461539,1.3425200355203846,67.37
38,2.900693254287426,34.84975961538461,1.333711092985129,67.29
39,2.833136968123607,36.828926282051285,1.3949981460088416,66.34
40,2.8742540298364103,34.63341346153846,1.3299864560742922,67.72
41,2.846929225249168,37.01722756410256,1.2570732062375998,69.46
42,2.8477555809876858,35.84735576923077,1.3203585713724546,68.93
43,2.8665587226549785,35.92347756410256,1.3539060671118242,68.57
44,2.816490481755672,37.82451923076923,1.292880044707769,68.62
45,2.791006528108548,36.85496794871795,1.252828278119051,69.9
46,2.8180424311222176,37.37780448717949,1.3480330992348586,69.11
47,2.7820499857266743,36.99719551282051,1.3656699053848846,69.57
48,2.8125004872297628,35.72716346153846,1.2197869993463348,69.78
49,2.7691644387367442,38.47355769230769,1.3048376689983319,69.44
50,2.8123757616067544,37.15945512820513,1.2828805431534973,69.82
51,2.852623735330044,34.95592948717949,1.3898809831353682,67.2
52,2.773105497849293,38.60176282051282,1.23990121747874,70.39
53,2.7352357381429426,37.56209935897436,1.2182875079444693,70.78
54,2.7175931958051827,38.50360576923077,1.2474443173106713,69.35
55,2.7774560711322684,39.78966346153846,1.2629163423670997,70.64
56,2.7875898248110063,37.88661858974359,1.251511301420912,70.09
57,2.7978013625511755,40.548878205128204,1.2139189386669593,70.45
58,2.7076763507647392,38.16706730769231,1.321237948876393,69.01
59,2.759866590377612,39.07251602564103,1.2708084907712816,69.51
60,2.734271540397253,37.265625,1.1771472481232654,71.3
61,2.7261858949294457,39.841746794871796,1.177655880964255,72.2
62,2.738385751614204,38.46153846153846,1.1801831088488615,70.76
63,2.687752419557327,38.984375,1.2617449428461776,70.76
64,2.669582146253341,38.88621794871795,1.2127542269380787,70.95
65,2.7362886670308235,42.85456730769231,1.2263374245619472,70.13
66,2.705375915918595,39.35096153846154,1.1909753325619274,71.53
67,2.72152104469446,39.375,1.254706097554557,70.89
68,2.7254547730470313,39.557291666666664,1.2530878299399266,70.8
69,2.6649052421251933,42.36177884615385,1.2133187395107896,70.16
70,2.7138565567823556,41.78285256410256,1.234013921097864,71.32
71,2.7148971915245057,41.85897435897436,1.2678675138497655,70.28
