epoch,train_loss,train_acc,test_loss,test_acc
0,4.698417262541942,1.015625,4.634653713129744,1.67
1,4.3970678219428425,4.4891826923076925,3.750737887394579,13.12
2,4.244594932825137,6.714743589743589,3.481002662755266,18.75
3,4.134522701532413,8.153044871794872,3.208126231084896,22.43
4,4.051112901247465,10.340544871794872,3.0411127911338323,26.64
5,3.9442760333036766,12.65625,2.8480402185947082,29.62
6,3.8449735977710824,15.032051282051283,2.6683979245680796,33.33
7,3.778652320152674,15.61298076923077,2.475585807727862,37.55
8,3.6877734459363496,16.991185897435898,2.4709650866592985,38.58
9,3.6417388500311434,18.92628205128205,2.275910855848578,42.3
10,3.540003898816231,21.618589743589745,2.1069298394118685,45.94
11,3.4995813840474836,21.56650641025641,2.088142038900641,46.99
12,3.4646582811306685,22.243589743589745,2.135249030740955,45.85
13,3.45338195898594,23.05488782051282,2.0455527848835233,49.52
14,3.4155816830121553,22.57411858974359,2.1356681087349036,46.47
15,3.3744760727271057,23.982371794871796,1.9849796023549913,50.5
16,3.3373381235660653,25.857371794871796,1.9632103065901165,50.87
17,3.346009962986677,23.990384615384617,1.8324952427344987,55.42
18,3.2855445293279795,26.987179487179485,1.8677532174919225,53.97
19,3.2905996010853693,27.68830128205128,1.7637721948985812,55.4
20,3.2565200744531095,26.528445512820515,1.8298019216030459,54.9
21,3.1975530685522617,28.784054487179485,1.7316479486755179,57.43
22,3.163094872694749,29.168669871794872,1.6321431232404104,60.82
23,3.196477020703829,30.43669871794872,1.573231573346295,60.29
24,3.162044134201148,30.400641025641026,1.664572285700448,59.22
25,3.069642820725074,31.716746794871796,1.570286495776116,61.69
26,3.1623438498912715,28.090945512820515,1.5487014930459517,63.31
27,2.99937976873838,33.58573717948718,1.4442324215852762,63.71
28,3.0395936761146936,32.60616987179487,1.5604716539382935,62.31
29,3.078500592097258,31.72676282051282,1.4905786453923093,63.89
30,3.051249948831705,31.448317307692307,1.472102095809164,64.7
31,2.9880043797003917,34.767628205128204,1.4313747354700594,65.41
32,2.96253094184093,33.072916666666664,1.4576967532121683,65.15
33,3.014970432489346,34.30488782051282,1.442499959016148,64.67
34,2.9899973805134112,34.30689102564103,1.4318795898292638,64.82
35,2.9349072633645474,33.38341346153846,1.37681181823151,67.18
36,2.9679992868350102,33.56971153846154,1.426347575610197,66.95
37,2.962178237315936,33.89823717948718,1.4069975101495091,66.42
38,2.9389330353492347,34.1786858974359,1.3205604523043089,67.89
39,2.8713598642593774,35.98557692307692,1.3780362062816378,66.16
40,2.9165357721157563,33.723958333333336,1.3282705273809312,67.86
41,2.8826537334001983,36.46834935897436,1.3801305173318597,66.09
