epoch,train_loss,train_acc,test_loss,test_acc
0,4.7913455180632765,1.1518429487179487,4.648974177203601,1.76
1,4.460402316313523,3.4715544871794872,3.888506777678864,10.5
2,4.310850214958191,5.8493589743589745,3.6965495604503005,14.62
3,4.218245736757914,7.103365384615385,3.4124285933337632,19.34
4,4.138662166473193,8.920272435897436,3.2345084087758122,23.01
5,4.04803494551243,10.524839743589743,3.0639948241318327,25.24
6,3.9511957602623182,12.686298076923077,2.902991421615021,28.85
7,3.859788790727273,14.238782051282051,2.8654968979992446,29.29
8,3.761439482371012,15.404647435897436,2.5234258838846713,36.13
9,3.7047615858224723,17.16346153846154,2.3932621147059185,38.7
10,3.607342955393669,20.060096153846153,2.224917743779436,44.23
11,3.555222173837515,20.44471153846154,2.3451514968389198,41.64
12,3.5071196543864716,21.009615384615383,2.079979199397413,47.37
13,3.501064337216891,21.704727564102566,2.2168920553183256,44.88
14,3.454569535377698,21.36017628205128,2.0173069510278823,49.23
15,3.408638342221578,23.114983974358974,1.9799798938292492,50.69
16,3.3605251654600488,25.138221153846153,1.915604232232782,52.57
17,3.362517015139262,23.455528846153847,1.9742022933839243,51.68
18,3.3124986501840445,26.037660256410255,1.905919503562058,54.16
19,3.3011570618702817,26.860977564102566,1.824658331991751,54.77
20,3.267716533709795,25.84735576923077,1.8748274332360377,54.76
21,3.212843971986037,28.161057692307693,1.80035614212857,55.41
22,3.162144233018924,29.05849358974359,1.716600027265428,58.26
23,3.1894970435362597,30.282451923076923,1.6461018987848788,57.97
24,3.151696884020781,29.973958333333332,1.6722257650351222,59.58
25,3.052015553987943,31.58253205128205,1.6067931833146494,60.4
26,3.1417175421347987,28.080929487179485,1.569987277441387,61.55
27,2.9878311618780478,33.46754807692308,1.4351129924194723,64.06
28,3.015740416600154,32.52804487179487,1.5147432813161537,63.31
29,3.0426937152177858,32.087339743589745,1.5357553596738018,62.97
30,3.019120709101359,31.596554487179485,1.4886707927607283,62.94
31,2.961047917451614,34.655448717948715,1.4311328326599508,65.21
32,2.9243870249161352,33.65584935897436,1.4297111819062052,66.66
33,2.974836907019982,34.67748397435897,1.435710431654242,65.52
34,2.9455130338668822,35.00400641025641,1.3444367994236042,67.5
35,2.892406873213939,34.08052884615385,1.338191859329803,66.88
36,2.9161245584487916,34.75160256410256,1.392128297045261,66.83
37,2.918419086933136,34.33092948717949,1.3247458301013029,67.98
38,2.886517299138583,34.7275641025641,1.2935373941554298,68.08
39,2.8144986641712677,37.033253205128204,1.3245201322096813,68.24
40,2.8649299484032853,34.36097756410256,1.3744513098197648,66.84
41,2.8333500697062566,37.08533653846154,1.2740053579777102,68.8
42,2.819243629467793,36.22996794871795,1.3290573192548147,69.53
43,2.8366232752799987,36.45633012820513,1.3536589175839968,68.23
44,2.7928195467362036,37.5380608974359,1.212231487412996,70.89
45,2.763691140138186,37.161458333333336,1.208662273008612,70.71
46,2.7896077113273816,37.66626602564103,1.3392822425576705,69.29
47,2.7568527337832327,36.99719551282051,1.312617941747738,70.21
48,2.7862877702101683,35.81530448717949,1.2243781270860117,69.46
49,2.7258206034317993,38.904246794871796,1.243425752543196,70.3
50,2.774150140468891,37.80649038461539,1.2564396179175075,70.7
51,2.8077820728986693,35.77524038461539,1.2256582115269914,71.81
52,2.7284055126019013,39.1786858974359,1.187375091299226,71.81
53,2.691245131309216,38.15905448717949,1.2026711181749272,71.31
54,2.681817469230065,39.31690705128205,1.2567370526398285,68.86
55,2.737291439374288,40.14423076923077,1.186539113521576,71.44
56,2.742206390087421,38.333333333333336,1.2091283669954613,71.47
57,2.7544957136496517,41.21995192307692,1.164139661607863,71.66
58,2.665688264981294,38.74599358974359,1.2418355406085146,70.97
59,2.7076917220384646,40.06610576923077,1.2033614010750493,71.28
60,2.6759226141831816,37.97275641025641,1.1482494216931016,72.54
61,2.674159931525206,40.53685897435897,1.1790956077696402,72.57
62,2.6888093954477554,39.50721153846154,1.1484418292588825,71.82
63,2.645480201488886,39.46915064102564,1.202555952947351,72.18
64,2.615264215836158,39.77163461538461,1.2092485435401337,71.49
65,2.6776448329289755,43.874198717948715,1.2090534650826756,70.15
66,2.6479923819884275,40.32852564102564,1.1272966099690787,72.41
67,2.65290281864313,40.154246794871796,1.1324269492414933,73.29
68,2.6575308796687005,40.85136217948718,1.2816770801061317,70.38
69,2.6112792134284972,43.13902243589744,1.139895637578602,72.94
70,2.6650891267336334,42.76241987179487,1.2010046741630458,72.2
71,2.6534874451466095,43.01883012820513,1.1928148073486136,71.59
72,2.6279288013776143,43.337339743589745,1.178713637816755,72.73
73,2.6492220184741875,43.38942307692308,1.1253627350058737,73.56
74,2.629708701524979,42.702323717948715,1.1023085788835454,74.4
75,2.5852917931018733,41.34014423076923,1.176738502104071,73.49
