subnet_idx,bits,weight
0,00000000,0.0017293913
1,10000000,0.0015486899
2,01000000,0.0015252628
3,11000000,0.0014826589
4,00100000,0.0014742336
5,10100000,0.0012171491
6,01100000,0.0011865988
7,11100000,0.0012728077
8,00010000,0.0015260412
9,10010000,0.0012259969
10,01010000,0.0012277297
11,11010000,0.0012312991
12,00110000,0.0013030994
13,10110000,0.001103592
14,01110000,0.0010862073
15,11110000,0.0012479537
16,00001000,0.0015582502
17,10001000,0.0012095639
18,01001000,0.0011874862
19,11001000,0.0013348822
20,00101000,0.0013578692
21,10101000,0.0013132647
22,01101000,0.0011932931
23,11101000,0.0022655276
24,00011000,0.001463317
25,10011000,0.0010262377
26,01011000,0.001092142
27,11011000,0.0014447691
28,00111000,0.0012304703
29,10111000,0.0013894248
30,01111000,0.001339978
31,11111000,0.004768961
32,00000100,0.0017950458
33,10000100,0.0014415307
34,01000100,0.0014624946
35,11000100,0.0015999853
36,00100100,0.0013661968
37,10100100,0.0012444785
38,01100100,0.0011835169
39,11100100,0.0018407695
40,00010100,0.0015488849
41,10010100,0.0012697802
42,01010100,0.0012434868
43,11010100,0.001520189
44,00110100,0.0013292838
45,10110100,0.001346981
46,01110100,0.0012653643
47,11110100,0.003029975
48,00001100,0.0012781621
49,10001100,0.0009872733
50,01001100,0.0010150911
51,11001100,0.0013315707
52,00101100,0.0011784385
53,10101100,0.0015357735
54,01101100,0.0013333543
55,11101100,0.004630851
56,00011100,0.0013793644
57,10011100,0.0009219023
58,01011100,0.0010696927
59,11011100,0.001974318
60,00111100,0.0011528637
61,10111100,0.0024293964
62,01111100,0.0023778884
63,11111100,0.08061375
64,00000010,0.0018793754
65,10000010,0.0016722336
66,01000010,0.0016321274
67,11000010,0.0012455543
68,00100010,0.0017578788
69,10100010,0.0011754304
70,01100010,0.0011792103
71,11100010,0.00089995406
72,00010010,0.001673079
73,10010010,0.0012069034
74,01010010,0.0013311601
75,11010010,0.0010480479
76,00110010,0.0013805447
77,10110010,0.0008446916
78,01110010,0.00085798494
79,11110010,0.00078266056
80,00001010,0.0014097997
81,10001010,0.0008620694
82,01001010,0.00091514725
83,11001010,0.00075867976
84,00101010,0.0012505138
85,10101010,0.001352989
86,01101010,0.001215405
87,11101010,0.0023531555
88,00011010,0.000985098
89,10011010,0.0006097323
90,01011010,0.001021861
91,11011010,0.0013399479
92,00111010,0.00071894185
93,10111010,0.0009849101
94,01111010,0.00097458035
95,11111010,0.0056908648
96,00000110,0.0011680586
97,10000110,0.00053246017
