subnet_idx,bits,weight,path
35,11000100,0.0015995577,L1.B0:Full | L1.B1:Full | L2.B0:Skip | L2.B1:Skip | L3.B0:Skip | L3.B1:Full | L4.B0:Skip | L4.B1:Skip
36,00100100,0.0013658763,L1.B0:Skip | L1.B1:Skip | L2.B0:Full | L2.B1:Skip | L3.B0:Skip | L3.B1:Full | L4.B0:Skip | L4.B1:Skip
37,10100100,0.0012440508,L1.B0:Full | L1.B1:Skip | L2.B0:Full | L2.B1:Skip | L3.B0:Skip | L3.B1:Full | L4.B0:Skip | L4.B1:Skip
38,01100100,0.0011831179,L1.B0:Skip | L1.B1:Full | L2.B0:Full | L2.B1:Skip | L3.B0:Skip | L3.B1:Full | L4.B0:Skip | L4.B1:Skip
39,11100100,0.0018402449,L1.B0:Full | L1.B1:Full | L2.B0:Full | L2.B1:Skip | L3.B0:Skip | L3.B1:Full | L4.B0:Skip | L4.B1:Skip
40,00010100,0.0015485017,L1.B0:Skip | L1.B1:Skip | L2.B0:Skip | L2.B1:Full | L3.B0:Skip | L3.B1:Full | L4.B0:Skip | L4.B1:Skip
41,10010100,0.001269485,L1.B0:Full | L1.B1:Skip | L2.B0:Skip | L2.B1:Full | L3.B0:Skip | L3.B1:Full | L4.B0:Skip | L4.B1:Skip
42,01010100,0.0012430932,L1.B0:Skip | L1.B1:Full | L2.B0:Skip | L2.B1:Full | L3.B0:Skip | L3.B1:Full | L4.B0:Skip | L4.B1:Skip
43,11010100,0.0015198063,L1.B0:Full | L1.B1:Full | L2.B0:Skip | L2.B1:Full | L3.B0:Skip | L3.B1:Full | L4.B0:Skip | L4.B1:Skip
44,00110100,0.0013289707,L1.B0:Skip | L1.B1:Skip | L2.B0:Full | L2.B1:Full | L3.B0:Skip | L3.B1:Full | L4.B0:Skip | L4.B1:Skip
45,10110100,0.0013466394,L1.B0:Full | L1.B1:Skip | L2.B0:Full | L2.B1:Full | L3.B0:Skip | L3.B1:Full | L4.B0:Skip | L4.B1:Skip
46,01110100,0.0012650627,L1.B0:Skip | L1.B1:Full | L2.B0:Full | L2.B1:Full | L3.B0:Skip | L3.B1:Full | L4.B0:Skip | L4.B1:Skip
47,11110100,0.0030296638,L1.B0:Full | L1.B1:Full | L2.B0:Full | L2.B1:Full | L3.B0:Skip | L3.B1:Full | L4.B0:Skip | L4.B1:Skip
48,00001100,0.001277838,L1.B0:Skip | L1.B1:Skip | L2.B0:Skip | L2.B1:Skip | L3.B0:Full | L3.B1:Full | L4.B0:Skip | L4.B1:Skip
49,10001100,0.0009869462,L1.B0:Full | L1.B1:Skip | L2.B0:Skip | L2.B1:Skip | L3.B0:Full | L3.B1:Full | L4.B0:Skip | L4.B1:Skip
50,01001100,0.0010147534,L1.B0:Skip | L1.B1:Full | L2.B0:Skip | L2.B1:Skip | L3.B0:Full | L3.B1:Full | L4.B0:Skip | L4.B1:Skip
51,11001100,0.0013312413,L1.B0:Full | L1.B1:Full | L2.B0:Skip | L2.B1:Skip | L3.B0:Full | L3.B1:Full | L4.B0:Skip | L4.B1:Skip
52,00101100,0.001178057,L1.B0:Skip | L1.B1:Skip | L2.B0:Full | L2.B1:Skip | L3.B0:Full | L3.B1:Full | L4.B0:Skip | L4.B1:Skip
53,10101100,0.0015353723,L1.B0:Full | L1.B1:Skip | L2.B0:Full | L2.B1:Skip | L3.B0:Full | L3.B1:Full | L4.B0:Skip | L4.B1:Skip
54,01101100,0.0013330092,L1.B0:Skip | L1.B1:Full | L2.B0:Full | L2.B1:Skip | L3.B0:Full | L3.B1:Full | L4.B0:Skip | L4.B1:Skip
55,11101100,0.0046307957,L1.B0:Full | L1.B1:Full | L2.B0:Full | L2.B1:Skip | L3.B0:Full | L3.B1:Full | L4.B0:Skip | L4.B1:Skip
56,00011100,0.0013790528,L1.B0:Skip | L1.B1:Skip | L2.B0:Skip | L2.B1:Full | L3.B0:Full | L3.B1:Full | L4.B0:Skip | L4.B1:Skip
57,10011100,0.0009216456,L1.B0:Full | L1.B1:Skip | L2.B0:Skip | L2.B1:Full | L3.B0:Full | L3.B1:Full | L4.B0:Skip | L4.B1:Skip
58,01011100,0.0010693566,L1.B0:Skip | L1.B1:Full | L2.B0:Skip | L2.B1:Full | L3.B0:Full | L3.B1:Full | L4.B0:Skip | L4.B1:Skip
59,11011100,0.0019740611,L1.B0:Full | L1.B1:Full | L2.B0:Skip | L2.B1:Full | L3.B0:Full | L3.B1:Full | L4.B0:Skip | L4.B1:Skip
60,00111100,0.0011525141,L1.B0:Skip | L1.B1:Skip | L2.B0:Full | L2.B1:Full | L3.B0:Full | L3.B1:Full | L4.B0:Skip | L4.B1:Skip
61,10111100,0.0024289887,L1.B0:Full | L1.B1:Skip | L2.B0:Full | L2.B1:Full | L3.B0:Full | L3.B1:Full | L4.B0:Skip | L4.B1:Skip
62,01111100,0.0023774712,L1.B0:Skip | L1.B1:Full | L2.B0:Full | L2.B1:Full | L3.B0:Full | L3.B1:Full | L4.B0:Skip | L4.B1:Skip
63,11111100,0.08065965,L1.B0:Full | L1.B1:Full | L2.B0:Full | L2.B1:Full | L3.B0:Full | L3.B1:Full | L4.B0:Skip | L4.B1:Skip
64,00000010,0.0018790672,L1.B0:Skip | L1.B1:Skip | L2.B0:Skip | L2.B1:Skip | L3.B0:Skip | L3.B1:Skip | L4.B0:Full | L4.B1:Skip
65,10000010,0.001671803,L1.B0:Full | L1.B1:Skip | L2.B0:Skip | L2.B1:Skip | L3.B0:Skip | L3.B1:Skip | L4.B0:Full | L4.B1:Skip
66,01000010,0.0016317026,L1.B0:Skip | L1.B1:Full | L2.B0:Skip | L2.B1:Skip | L3.B0:Skip | L3.B1:Skip | L4.B0:Full | L4.B1:Skip
67,11000010,0.0012451144,L1.B0:Full | L1.B1:Full | L2.B0:Skip | L2.B1:Skip | L3.B0:Skip | L3.B1:Skip | L4.B0:Full | L4.B1:Skip
68,00100010,0.001757428,L1.B0:Skip | L1.B1:Skip | L2.B0:Full | L2.B1:Skip | L3.B0:Skip | L3.B1:Skip | L4.B0:Full | L4.B1:Skip
69,10100010,0.0011750113,L1.B0:Full | L1.B1:Skip | L2.B0:Full | L2.B1:Skip | L3.B0:Skip | L3.B1:Skip | L4.B0:Full | L4.B1:Skip
70,01100010,0.0011788006,L1.B0:Skip | L1.B1:Full | L2.B0:Full | L2.B1:Skip | L3.B0:Skip | L3.B1:Skip | L4.B0:Full | L4.B1:Skip
71,11100010,0.000899631,L1.B0:Full | L1.B1:Full | L2.B0:Full | L2.B1:Skip | L3.B0:Skip | L3.B1:Skip | L4.B0:Full | L4.B1:Skip
72,00010010,0.0016726451,L1.B0:Skip | L1.B1:Skip | L2.B0:Skip | L2.B1:Full | L3.B0:Skip | L3.B1:Skip | L4.B0:Full | L4.B1:Skip
73,10010010,0.0012064852,L1.B0:Full | L1.B1:Skip | L2.B0:Skip | L2.B1:Full | L3.B0:Skip | L3.B1:Skip | L4.B0:Full | L4.B1:Skip
74,01010010,0.0013308275,L1.B0:Skip | L1.B1:Full | L2.B0:Skip | L2.B1:Full | L3.B0:Skip | L3.B1:Skip | L4.B0:Full | L4.B1:Skip
