subnet_idx,bits,weight,path
35,11000100,0.00390625,L1.B0:Full | L1.B1:Full | L2.B0:Skip | L2.B1:Skip | L3.B0:Skip | L3.B1:Full | L4.B0:Skip | L4.B1:Skip
36,00100100,0.00390625,L1.B0:Skip | L1.B1:Skip | L2.B0:Full | L2.B1:Skip | L3.B0:Skip | L3.B1:Full | L4.B0:Skip | L4.B1:Skip
37,10100100,0.00390625,L1.B0:Full | L1.B1:Skip | L2.B0:Full | L2.B1:Skip | L3.B0:Skip | L3.B1:Full | L4.B0:Skip | L4.B1:Skip
38,01100100,0.00390625,L1.B0:Skip | L1.B1:Full | L2.B0:Full | L2.B1:Skip | L3.B0:Skip | L3.B1:Full | L4.B0:Skip | L4.B1:Skip
39,11100100,0.00390625,L1.B0:Full | L1.B1:Full | L2.B0:Full | L2.B1:Skip | L3.B0:Skip | L3.B1:Full | L4.B0:Skip | L4.B1:Skip
40,00010100,0.00390625,L1.B0:Skip | L1.B1:Skip | L2.B0:Skip | L2.B1:Full | L3.B0:Skip | L3.B1:Full | L4.B0:Skip | L4.B1:Skip
41,10010100,0.00390625,L1.B0:Full | L1.B1:Skip | L2.B0:Skip | L2.B1:Full | L3.B0:Skip | L3.B1:Full | L4.B0:Skip | L4.B1:Skip
42,01010100,0.00390625,L1.B0:Skip | L1.B1:Full | L2.B0:Skip | L2.B1:Full | L3.B0:Skip | L3.B1:Full | L4.B0:Skip | L4.B1:Skip
43,11010100,0.00390625,L1.B0:Full | L1.B1:Full | L2.B0:Skip | L2.B1:Full | L3.B0:Skip | L3.B1:Full | L4.B0:Skip | L4.B1:Skip
44,00110100,0.00390625,L1.B0:Skip | L1.B1:Skip | L2.B0:Full | L2.B1:Full | L3.B0:Skip | L3.B1:Full | L4.B0:Skip | L4.B1:Skip
45,10110100,0.00390625,L1.B0:Full | L1.B1:Skip | L2.B0:Full | L2.B1:Full | L3.B0:Skip | L3.B1:Full | L4.B0:Skip | L4.B1:Skip
46,01110100,0.00390625,L1.B0:Skip | L1.B1:Full | L2.B0:Full | L2.B1:Full | L3.B0:Skip | L3.B1:Full | L4.B0:Skip | L4.B1:Skip
47,11110100,0.00390625,L1.B0:Full | L1.B1:Full | L2.B0:Full | L2.B1:Full | L3.B0:Skip | L3.B1:Full | L4.B0:Skip | L4.B1:Skip
48,00001100,0.00390625,L1.B0:Skip | L1.B1:Skip | L2.B0:Skip | L2.B1:Skip | L3.B0:Full | L3.B1:Full | L4.B0:Skip | L4.B1:Skip
49,10001100,0.00390625,L1.B0:Full | L1.B1:Skip | L2.B0:Skip | L2.B1:Skip | L3.B0:Full | L3.B1:Full | L4.B0:Skip | L4.B1:Skip
50,01001100,0.00390625,L1.B0:Skip | L1.B1:Full | L2.B0:Skip | L2.B1:Skip | L3.B0:Full | L3.B1:Full | L4.B0:Skip | L4.B1:Skip
51,11001100,0.00390625,L1.B0:Full | L1.B1:Full | L2.B0:Skip | L2.B1:Skip | L3.B0:Full | L3.B1:Full | L4.B0:Skip | L4.B1:Skip
52,00101100,0.00390625,L1.B0:Skip | L1.B1:Skip | L2.B0:Full | L2.B1:Skip | L3.B0:Full | L3.B1:Full | L4.B0:Skip | L4.B1:Skip
53,10101100,0.00390625,L1.B0:Full | L1.B1:Skip | L2.B0:Full | L2.B1:Skip | L3.B0:Full | L3.B1:Full | L4.B0:Skip | L4.B1:Skip
54,01101100,0.00390625,L1.B0:Skip | L1.B1:Full | L2.B0:Full | L2.B1:Skip | L3.B0:Full | L3.B1:Full | L4.B0:Skip | L4.B1:Skip
55,11101100,0.00390625,L1.B0:Full | L1.B1:Full | L2.B0:Full | L2.B1:Skip | L3.B0:Full | L3.B1:Full | L4.B0:Skip | L4.B1:Skip
56,00011100,0.00390625,L1.B0:Skip | L1.B1:Skip | L2.B0:Skip | L2.B1:Full | L3.B0:Full | L3.B1:Full | L4.B0:Skip | L4.B1:Skip
57,10011100,0.00390625,L1.B0:Full | L1.B1:Skip | L2.B0:Skip | L2.B1:Full | L3.B0:Full | L3.B1:Full | L4.B0:Skip | L4.B1:Skip
58,01011100,0.00390625,L1.B0:Skip | L1.B1:Full | L2.B0:Skip | L2.B1:Full | L3.B0:Full | L3.B1:Full | L4.B0:Skip | L4.B1:Skip
59,11011100,0.00390625,L1.B0:Full | L1.B1:Full | L2.B0:Skip | L2.B1:Full | L3.B0:Full | L3.B1:Full | L4.B0:Skip | L4.B1:Skip
60,00111100,0.00390625,L1.B0:Skip | L1.B1:Skip | L2.B0:Full | L2.B1:Full | L3.B0:Full | L3.B1:Full | L4.B0:Skip | L4.B1:Skip
61,10111100,0.00390625,L1.B0:Full | L1.B1:Skip | L2.B0:Full | L2.B1:Full | L3.B0:Full | L3.B1:Full | L4.B0:Skip | L4.B1:Skip
62,01111100,0.00390625,L1.B0:Skip | L1.B1:Full | L2.B0:Full | L2.B1:Full | L3.B0:Full | L3.B1:Full | L4.B0:Skip | L4.B1:Skip
63,11111100,0.00390625,L1.B0:Full | L1.B1:Full | L2.B0:Full | L2.B1:Full | L3.B0:Full | L3.B1:Full | L4.B0:Skip | L4.B1:Skip
64,00000010,0.00390625,L1.B0:Skip | L1.B1:Skip | L2.B0:Skip | L2.B1:Skip | L3.B0:Skip | L3.B1:Skip | L4.B0:Full | L4.B1:Skip
65,10000010,0.00390625,L1.B0:Full | L1.B1:Skip | L2.B0:Skip | L2.B1:Skip | L3.B0:Skip | L3.B1:Skip | L4.B0:Full | L4.B1:Skip
66,01000010,0.00390625,L1.B0:Skip | L1.B1:Full | L2.B0:Skip | L2.B1:Skip | L3.B0:Skip | L3.B1:Skip | L4.B0:Full | L4.B1:Skip
67,11000010,0.00390625,L1.B0:Full | L1.B1:Full | L2.B0:Skip | L2.B1:Skip | L3.B0:Skip | L3.B1:Skip | L4.B0:Full | L4.B1:Skip
68,00100010,0.00390625,L1.B0:Skip | L1.B1:Skip | L2.B0:Full | L2.B1:Skip | L3.B0:Skip | L3.B1:Skip | L4.B0:Full | L4.B1:Skip
69,10100010,0.00390625,L1.B0:Full | L1.B1:Skip | L2.B0:Full | L2.B1:Skip | L3.B0:Skip | L3.B1:Skip | L4.B0:Full | L4.B1:Skip
70,01100010,0.00390625,L1.B0:Skip | L1.B1:Full | L2.B0:Full | L2.B1:Skip | L3.B0:Skip | L3.B1:Skip | L4.B0:Full | L4.B1:Skip
71,11100010,0.00390625,L1.B0:Full | L1.B1:Full | L2.B0:Full | L2.B1:Skip | L3.B0:Skip | L3.B1:Skip | L4.B0:Full | L4.B1:Skip
72,00010010,0.00390625,L1.B0:Skip | L1.B1:Skip | L2.B0:Skip | L2.B1:Full | L3.B0:Skip | L3.B1:Skip | L4.B0:Full | L4.B1:Skip
73,10010010,0.00390625,L1.B0:Full | L1.B1:Skip | L2.B0:Skip | L2.B1:Full | L3.B0:Skip | L3.B1:Skip | L4.B0:Full | L4.B1:Skip
74,01010010,0.00390625,L1.B0:Skip | L1.B1:Full | L2.B0:Skip | L2.B1:Full | L3.B0:Skip | L3.B1:Skip | L4.B0:Full | L4.B1:Skip
75,11010010,0.00390625,L1.B0:Full | L1.B1:Full | L2.B0:Skip | L2.B1:Full | L3.B0:Skip | L3.B1:Skip | L4.B0:Full | L4.B1:Skip
76,00110010,0.00390625,L1.B0:Skip | L1.B1:Skip | L2.B0:Full | L2.B1:Full | L3.B0:Skip | L3.B1:Skip | L4.B0:Full | L4.B1:Skip
77,10110010,0.00390625,L1.B0:Full | L1.B1:Skip | L2.B0:Full | L2.B1:Full | L3.B0:Skip | L3.B1:Skip | L4.B0:Full | L4.B1:Skip
78,01110010,0.00390625,L1.B0:Skip | L1.B1:Full | L2.B0:Full | L2.B1:Full | L3.B0:Skip | L3.B1:Skip | L4.B0:Full | L4.B1:Skip
79,11110010,0.00390625,L1.B0:Full | L1.B1:Full | L2.B0:Full | L2.B1:Full | L3.B0:Skip | L3.B1:Skip | L4.B0:Full | L4.B1:Skip
80,00001010,0.00390625,L1.B0:Skip | L1.B1:Skip | L2.B0:Skip | L2.B1:Skip | L3.B0:Full | L3.B1:Skip | L4.B0:Full | L4.B1:Skip
81,10001010,0.00390625,L1.B0:Full | L1.B1:Skip | L2.B0:Skip | L2.B1:Skip | L3.B0:Full | L3.B1:Skip | L4.B0:Full | L4.B1:Skip
82,01001010,0.00390625,L1.B0:Skip | L1.B1:Full | L2.B0:Skip | L2.B1:Skip | L3.B0:Full | L3.B1:Skip | L4.B0:Full | L4.B1:Skip
83,11001010,0.00390625,L1.B0:Full | L1.B1:Full | L2.B0:Skip | L2.B1:Skip | L3.B0:Full | L3.B1:Skip | L4.B0:Full | L4.B1:Skip
84,00101010,0.00390625,L1.B0:Skip | L1.B1:Skip | L2.B0:Full | L2.B1:Skip | L3.B0:Full | L3.B1:Skip | L4.B0:Full | L4.B1:Skip
85,10101010,0.00390625,L1.B0:Full | L1.B1:Skip | L2.B0:Full | L2.B1:Skip | L3.B0:Full | L3.B1:Skip | L4.B0:Full | L4.B1:Skip
86,01101010,0.00390625,L1.B0:Skip | L1.B1:Full | L2.B0:Full | L2.B1:Skip | L3.B0:Full | L3.B1:Skip | L4.B0:Full | L4.B1:Skip
87,11101010,0.00390625,L1.B0:Full | L1.B1:Full | L2.B0:Full | L2.B1:Skip | L3.B0:Full | L3.B1:Skip | L4.B0:Full | L4.B1:Skip
88,00011010,0.00390625,L1.B0:Skip | L1.B1:Skip | L2.B0:Skip | L2.B1:Full | L3.B0:Full | L3.B1:Skip | L4.B0:Full | L4.B1:Skip
89,10011010,0.00390625,L1.B0:Full | L1.B1:Skip | L2.B0:Skip | L2.B1:Full | L3.B0:Full | L3.B1:Skip | L4.B0:Full | L4.B1:Skip
90,01011010,0.00390625,L1.B0:Skip | L1.B1:Full | L2.B0:Skip | L2.B1:Full | L3.B0:Full | L3.B1:Skip | L4.B0:Full | L4.B1:Skip
91,11011010,0.00390625,L1.B0:Full | L1.B1:Full | L2.B0:Skip | L2.B1:Full | L3.B0:Full | L3.B1:Skip | L4.B0:Full | L4.B1:Skip
92,00111010,0.00390625,L1.B0:Skip | L1.B1:Skip | L2.B0:Full | L2.B1:Full | L3.B0:Full | L3.B1:Skip | L4.B0:Full | L4.B1:Skip
93,10111010,0.00390625,L1.B0:Full | L1.B1:Skip | L2.B0:Full | L2.B1:Full | L3.B0:Full | L3.B1:Skip | L4.B0:Full | L4.B1:Skip
94,01111010,0.00390625,L1.B0:Skip | L1.B1:Full | L2.B0:Full | L2.B1:Full | L3.B0:Full | L3.B1:Skip | L4.B0:Full | L4.B1:Skip
95,11111010,0.00390625,L1.B0:Full | L1.B1:Full | L2.B0:Full | L2.B1:Full | L3.B0:Full | L3.B1:Skip | L4.B0:Full | L4.B1:Skip
96,00000110,0.00390625,L1.B0:Skip | L1.B1:Skip | L2.B0:Skip | L2.B1:Skip | L3.B0:Skip | L3.B1:Full | L4.B0:Full | L4.B1:Skip
97,10000110,0.00390625,L1.B0:Full | L1.B1:Skip | L2.B0:Skip | L2.B1:Skip | L3.B0:Skip | L3.B1:Full | L4.B0:Full | L4.B1:Skip
98,01000110,0.00390625,L1.B0:Skip | L1.B1:Full | L2.B0:Skip | L2.B1:Skip | L3.B0:Skip | L3.B1:Full | L4.B0:Full | L4.B1:Skip
99,11000110,0.00390625,L1.B0:Full | L1.B1:Full | L2.B0:Skip | L2.B1:Skip | L3.B0:Skip | L3.B1:Full | L4.B0:Full | L4.B1:Skip
100,00100110,0.00390625,L1.B0:Skip | L1.B1:Skip | L2.B0:Full | L2.B1:Skip | L3.B0:Skip | L3.B1:Full | L4.B0:Full | L4.B1:Skip
101,10100110,0.00390625,L1.B0:Full | L1.B1:Skip | L2.B0:Full | L2.B1:Skip | L3.B0:Skip | L3.B1:Full | L4.B0:Full | L4.B1:Skip
102,01100110,0.00390625,L1.B0:Skip | L1.B1:Full | L2.B0:Full | L2.B1:Skip | L3.B0:Skip | L3.B1:Full | L4.B0:Full | L4.B1:Skip
103,11100110,0.00390625,L1.B0:Full | L1.B1:Full | L2.B0:Full | L2.B1:Skip | L3.B0:Skip | L3.B1:Full | L4.B0:Full | L4.B1:Skip
104,00010110,0.00390625,L1.B0:Skip | L1.B1:Skip | L2.B0:Skip | L2.B1:Full | L3.B0:Skip | L3.B1:Full | L4.B0:Full | L4.B1:Skip
105,10010110,0.00390625,L1.B0:Full | L1.B1:Skip | L2.B0:Skip | L2.B1:Full | L3.B0:Skip | L3.B1:Full | L4.B0:Full | L4.B1:Skip
106,01010110,0.00390625,L1.B0:Skip | L1.B1:Full | L2.B0:Skip | L2.B1:Full | L3.B0:Skip | L3.B1:Full | L4.B0:Full | L4.B1:Skip
107,11010110,0.00390625,L1.B0:Full | L1.B1:Full | L2.B0:Skip | L2.B1:Full | L3.B0:Skip | L3.B1:Full | L4.B0:Full | L4.B1:Skip
108,00110110,0.00390625,L1.B0:Skip | L1.B1:Skip | L2.B0:Full | L2.B1:Full | L3.B0:Skip | L3.B1:Full | L4.B0:Full | L4.B1:Skip
109,10110110,0.00390625,L1.B0:Full | L1.B1:Skip | L2.B0:Full | L2.B1:Full | L3.B0:Skip | L3.B1:Full | L4.B0:Full | L4.B1:Skip
110,01110110,0.00390625,L1.B0:Skip | L1.B1:Full | L2.B0:Full | L2.B1:Full | L3.B0:Skip | L3.B1:Full | L4.B0:Full | L4.B1:Skip
111,11110110,0.00390625,L1.B0:Full | L1.B1:Full | L2.B0:Full | L2.B1:Full | L3.B0:Skip | L3.B1:Full | L4.B0:Full | L4.B1:Skip
112,00001110,0.00390625,L1.B0:Skip | L1.B1:Skip | L2.B0:Skip | L2.B1:Skip | L3.B0:Full | L3.B1:Full | L4.B0:Full | L4.B1:Skip
113,10001110,0.00390625,L1.B0:Full | L1.B1:Skip | L2.B0:Skip | L2.B1:Skip | L3.B0:Full | L3.B1:Full | L4.B0:Full | L4.B1:Skip
114,01001110,0.00390625,L1.B0:Skip | L1.B1:Full | L2.B0:Skip | L2.B1:Skip | L3.B0:Full | L3.B1:Full | L4.B0:Full | L4.B1:Skip
115,11001110,0.00390625,L1.B0:Full | L1.B1:Full | L2.B0:Skip | L2.B1:Skip | L3.B0:Full | L3.B1:Full | L4.B0:Full | L4.B1:Skip
116,00101110,0.00390625,L1.B0:Skip | L1.B1:Skip | L2.B0:Full | L2.B1:Skip | L3.B0:Full | L3.B1:Full | L4.B0:Full | L4.B1:Skip
117,10101110,0.00390625,L1.B0:Full | L1.B1:Skip | L2.B0:Full | L2.B1:Skip | L3.B0:Full | L3.B1:Full | L4.B0:Full | L4.B1:Skip
118,01101110,0.00390625,L1.B0:Skip | L1.B1:Full | L2.B0:Full | L2.B1:Skip | L3.B0:Full | L3.B1:Full | L4.B0:Full | L4.B1:Skip
119,11101110,0.00390625,L1.B0:Full | L1.B1:Full | L2.B0:Full | L2.B1:Skip | L3.B0:Full | L3.B1:Full | L4.B0:Full | L4.B1:Skip
120,00011110,0.00390625,L1.B0:Skip | L1.B1:Skip | L2.B0:Skip | L2.B1:Full | L3.B0:Full | L3.B1:Full | L4.B0:Full | L4.B1:Skip
121,10011110,0.00390625,L1.B0:Full | L1.B1:Skip | L2.B0:Skip | L2.B1:Full | L3.B0:Full | L3.B1:Full | L4.B0:Full | L4.B1:Skip
122,01011110,0.00390625,L1.B0:Skip | L1.B1:Full | L2.B0:Skip | L2.B1:Full | L3.B0:Full | L3.B1:Full | L4.B0:Full | L4.B1:Skip
123,11011110,0.00390625,L1.B0:Full | L1.B1:Full | L2.B0:Skip | L2.B1:Full | L3.B0:Full | L3.B1:Full | L4.B0:Full | L4.B1:Skip
124,00111110,0.00390625,L1.B0:Skip | L1.B1:Skip | L2.B0:Full | L2.B1:Full | L3.B0:Full | L3.B1:Full | L4.B0:Full | L4.B1:Skip
125,10111110,0.00390625,L1.B0:Full | L1.B1:Skip | L2.B0:Full | L2.B1:Full | L3.B0:Full | L3.B1:Full | L4.B0:Full | L4.B1:Skip
126,01111110,0.00390625,L1.B0:Skip | L1.B1:Full | L2.B0:Full | L2.B1:Full | L3.B0:Full | L3.B1:Full | L4.B0:Full | L4.B1:Skip
127,11111110,0.00390625,L1.B0:Full | L1.B1:Full | L2.B0:Full | L2.B1:Full | L3.B0:Full | L3.B1:Full | L4.B0:Full | L4.B1:Skip
128,00000001,0.00390625,L1.B0:Skip | L1.B1:Skip | L2.B0:Skip | L2.B1:Skip | L3.B0:Skip | L3.B1:Skip | L4.B0:Skip | L4.B1:Full
129,10000001,0.00390625,L1.B0:Full | L1.B1:Skip | L2.B0:Skip | L2.B1:Skip | L3.B0:Skip | L3.B1:Skip | L4.B0:Skip | L4.B1:Full
130,01000001,0.00390625,L1.B0:Skip | L1.B1:Full | L2.B0:Skip | L2.B1:Skip | L3.B0:Skip | L3.B1:Skip | L4.B0:Skip | L4.B1:Full
131,11000001,0.00390625,L1.B0:Full | L1.B1:Full | L2.B0:Skip | L2.B1:Skip | L3.B0:Skip | L3.B1:Skip | L4.B0:Skip | L4.B1:Full
132,00100001,0.00390625,L1.B0:Skip | L1.B1:Skip | L2.B0:Full | L2.B1:Skip | L3.B0:Skip | L3.B1:Skip | L4.B0:Skip | L4.B1:Full
133,10100001,0.00390625,L1.B0:Full | L1.B1:Skip | L2.B0:Full | L2.B1:Skip | L3.B0:Skip | L3.B1:Skip | L4.B0:Skip | L4.B1:Full
134,01100001,0.00390625,L1.B0:Skip | L1.B1:Full | L2.B0:Full | L2.B1:Skip | L3.B0:Skip | L3.B1:Skip | L4.B0:Skip | L4.B1:Full
135,11100001,0.00390625,L1.B0:Full | L1.B1:Full | L2.B0:Full | L2.B1:Skip | L3.B0:Skip | L3.B1:Skip | L4.B0:Skip | L4.B1:Full
136,00010001,0.00390625,L1.B0:Skip | L1.B1:Skip | L2.B0:Skip | L2.B1:Full | L3.B0:Skip | L3.B1:Skip | L4.B0:Skip | L4.B1:Full
137,10010001,0.00390625,L1.B0:Full | L1.B1:Skip | L2.B0:Skip | L2.B1:Full | L3.B0:Skip | L3.B1:Skip | L4.B0:Skip | L4.B1:Full
138,01010001,0.00390625,L1.B0:Skip | L1.B1:Full | L2.B0:Skip | L2.B1:Full | L3.B0:Skip | L3.B1:Skip | L4.B0:Skip | L4.B1:Full
139,11010001,0.00390625,L1.B0:Full | L1.B1:Full | L2.B0:Skip | L2.B1:Full | L3.B0:Skip | L3.B1:Skip | L4.B0:Skip | L4.B1:Full
140,00110001,0.00390625,L1.B0:Skip | L1.B1:Skip | L2.B0:Full | L2.B1:Full | L3.B0:Skip | L3.B1:Skip | L4.B0:Skip | L4.B1:Full
141,10110001,0.00390625,L1.B0:Full | L1.B1:Skip | L2.B0:Full | L2.B1:Full | L3.B0:Skip | L3.B1:Skip | L4.B0:Skip | L4.B1:Full
142,01110001,0.00390625,L1.B0:Skip | L1.B1:Full | L2.B0:Full | L2.B1:Full | L3.B0:Skip | L3.B1:Skip | L4.B0:Skip | L4.B1:Full
143,11110001,0.00390625,L1.B0:Full | L1.B1:Full | L2.B0:Full | L2.B1:Full | L3.B0:Skip | L3.B1:Skip | L4.B0:Skip | L4.B1:Full
144,00001001,0.00390625,L1.B0:Skip | L1.B1:Skip | L2.B0:Skip | L2.B1:Skip | L3.B0:Full | L3.B1:Skip | L4.B0:Skip | L4.B1:Full
145,10001001,0.00390625,L1.B0:Full | L1.B1:Skip | L2.B0:Skip | L2.B1:Skip | L3.B0:Full | L3.B1:Skip | L4.B0:Skip | L4.B1:Full
146,01001001,0.00390625,L1.B0:Skip | L1.B1:Full | L2.B0:Skip | L2.B1:Skip | L3.B0:Full | L3.B1:Skip | L4.B0:Skip | L4.B1:Full
147,11001001,0.00390625,L1.B0:Full | L1.B1:Full | L2.B0:Skip | L2.B1:Skip | L3.B0:Full | L3.B1:Skip | L4.B0:Skip | L4.B1:Full
148,00101001,0.00390625,L1.B0:Skip | L1.B1:Skip | L2.B0:Full | L2.B1:Skip | L3.B0:Full | L3.B1:Skip | L4.B0:Skip | L4.B1:Full
149,10101001,0.00390625,L1.B0:Full | L1.B1:Skip | L2.B0:Full | L2.B1:Skip | L3.B0:Full | L3.B1:Skip | L4.B0:Skip | L4.B1:Full
150,01101001,0.00390625,L1.B0:Skip | L1.B1:Full | L2.B0:Full | L2.B1:Skip | L3.B0:Full | L3.B1:Skip | L4.B0:Skip | L4.B1:Full
151,11101001,0.00390625,L1.B0:Full | L1.B1:Full | L2.B0:Full | L2.B1:Skip | L3.B0:Full | L3.B1:Skip | L4.B0:Skip | L4.B1:Full
152,00011001,0.00390625,L1.B0:Skip | L1.B1:Skip | L2.B0:Skip | L2.B1:Full | L3.B0:Full | L3.B1:Skip | L4.B0:Skip | L4.B1:Full
153,10011001,0.00390625,L1.B0:Full | L1.B1:Skip | L2.B0:Skip | L2.B1:Full | L3.B0:Full | L3.B1:Skip | L4.B0:Skip | L4.B1:Full
154,01011001,0.00390625,L1.B0:Skip | L1.B1:Full | L2.B0:Skip | L2.B1:Full | L3.B0:Full | L3.B1:Skip | L4.B0:Skip | L4.B1:Full
155,11011001,0.00390625,L1.B0:Full | L1.B1:Full | L2.B0:Skip | L2.B1:Full | L3.B0:Full | L3.B1:Skip | L4.B0:Skip | L4.B1:Full
156,00111001,0.00390625,L1.B0:Skip | L1.B1:Skip | L2.B0:Full | L2.B1:Full | L3.B0:Full | L3.B1:Skip | L4.B0:Skip | L4.B1:Full
