epoch,train_loss,train_acc,test_loss,test_acc
0,4.629931259155273,1.157852564102564,4.590938242175911,2.08
1,4.391314121393057,4.487179487179487,3.7927264654183688,12.18
2,4.246653085488539,6.452323717948718,3.557402040384993,16.42
3,4.142314162009802,7.934695512820513,3.261093390138844,21.45
4,4.056792939014924,10.110176282051285,3.1063868848583365,24.95
5,3.9630901269423657,12.141426282051285,2.950748633734788,28.31
6,3.870518139692453,14.306891025641026,2.6851747639571566,32.34
7,3.811217482273395,14.915865384615383,2.5976337481148635,34.76
8,3.7269631336896847,15.813301282051285,2.5372198412689984,37.27
9,3.685433117548625,17.692307692307693,2.311233024053936,41.79
10,3.58733103458698,20.346554487179485,2.445617944379396,38.3
11,3.5439935005628147,20.510817307692307,2.3443569623971285,41.21
12,3.510243832759368,21.26602564102564,2.314279803746864,41.39
13,3.4910683754162912,22.02123397435897,2.1760837669613995,44.25
14,3.453391192509578,21.57051282051282,2.298116383673269,41.57
15,3.405938937725165,23.34334935897436,1.973542154589785,50.21
16,3.3683519045511883,25.06209935897436,1.9269356440894208,51.14
17,3.368761475269611,23.54767628205128,1.8805416158483,53.45
18,3.3117930638484467,26.43629807692308,1.8906560004511963,52.32
19,3.308398363529108,27.197516025641026,1.7435887403126005,53.95
20,3.2747886914473314,26.09775641025641,2.011131327363509,50.64
21,3.214963300411518,28.58173076923077,1.6670746803283691,56.17
22,3.178096279731164,29.012419871794872,1.6675593928445744,57.43
23,3.2070521690906624,30.10216346153846,1.7347633129433742,56.67
24,3.1724371573863883,30.0,1.7013362736641606,56.49
25,3.079997401971084,31.378205128205128,1.594344887552382,59.88
26,3.1632478120999457,28.004807692307693,1.6387841128095797,61.15
27,3.0071671843528747,33.49959935897436,1.4277019606360906,63.24
28,3.0394149233133363,32.79246794871795,1.6566425033762484,60.6
29,3.076701866663419,31.74879807692308,1.5998492950125585,61.54
30,3.0489756079820487,31.362179487179485,1.4843006284931035,64.06
31,2.986909719919547,34.64543269230769,1.428382963319368,64.37
32,2.959174224352225,32.8886217948718,1.52108488203604,63.29
33,3.0083018966210195,34.30488782051282,1.569796678386157,63.75
34,2.9793964862823485,34.665464743589745,1.395682217199591,66.12
35,2.929793101701981,33.32932692307692,1.3885921179493772,65.81
36,2.956559066589062,33.717948717948715,1.38141062893445,66.02
37,2.9478908743613808,34.108573717948715,1.4599389622483072,65.83
38,2.9290586651899875,34.06650641025641,1.3665264784535276,65.74
39,2.854869690919534,36.19991987179487,1.3561197987085656,66.12
40,2.8940860583232,33.99038461538461,1.3813502124593229,66.91
