setting,family,num_paths,coefficient_sum,accuracy_percent,test_loss,relative_cost_proxy,active_state_ratio,prefix_counts,parent_counts,path_indices,path_bits,path_coefficients
Random-7 equal mass-matched #07,random7_equal,7,0.6911354064941406,5.35,4.545421875,4.171389068116877,5.0,"[2, 3, 3, 6, 6, 6, 7, 7]","[1, 2, 3, 3, 6, 6, 6, 7]","[74, 128, 130, 131, 136, 138, 139]","[""01010010"", ""00000001"", ""01000001"", ""11000001"", ""00010001"", ""01010001"", ""11010001""]","[0.09873363375663757, 0.09873363375663757, 0.09873363375663757, 0.09873363375663757, 0.09873363375663757, 0.09873363375663757, 0.09873363375663757]"
Random-7 equal mass-matched #08,random7_equal,7,0.6911354064941406,34.0,4.3119595703125,4.171389068116877,5.0,"[2, 3, 3, 6, 6, 6, 7, 7]","[1, 2, 3, 3, 6, 6, 6, 7]","[80, 82, 83, 88, 90, 91, 146]","[""00001010"", ""01001010"", ""11001010"", ""00011010"", ""01011010"", ""11011010"", ""01001001""]","[0.09873363375663757, 0.09873363375663757, 0.09873363375663757, 0.09873363375663757, 0.09873363375663757, 0.09873363375663757, 0.09873363375663757]"
Random-7 equal mass-matched #09,random7_equal,7,0.6911354064941406,30.0,4.0854806640625,4.171389068116877,5.0,"[2, 3, 3, 6, 6, 6, 7, 7]","[1, 2, 3, 3, 6, 6, 6, 7]","[36, 37, 39, 44, 45, 47, 229]","[""00100100"", ""10100100"", ""11100100"", ""00110100"", ""10110100"", ""11110100"", ""10100111""]","[0.09873363375663757, 0.09873363375663757, 0.09873363375663757, 0.09873363375663757, 0.09873363375663757, 0.09873363375663757, 0.09873363375663757]"
Random-7 equal mass-matched #10,random7_equal,7,0.6911354064941406,52.31,2.8782429931640623,4.171389068116877,5.0,"[2, 3, 3, 6, 6, 6, 7, 7]","[1, 2, 3, 3, 6, 6, 6, 7]","[48, 240, 241, 242, 248, 249, 250]","[""00001100"", ""00001111"", ""10001111"", ""01001111"", ""00011111"", ""10011111"", ""01011111""]","[0.09873363375663757, 0.09873363375663757, 0.09873363375663757, 0.09873363375663757, 0.09873363375663757, 0.09873363375663757, 0.09873363375663757]"
Random-7 equal mass-matched #11,random7_equal,7,0.6911354064941406,70.02,2.91322294921875,4.171389068116877,5.0,"[2, 3, 3, 6, 6, 6, 7, 7]","[1, 2, 3, 3, 6, 6, 6, 7]","[53, 54, 55, 61, 62, 63, 255]","[""10101100"", ""01101100"", ""11101100"", ""10111100"", ""01111100"", ""11111100"", ""11111111""]","[0.09873363375663757, 0.09873363375663757, 0.09873363375663757, 0.09873363375663757, 0.09873363375663757, 0.09873363375663757, 0.09873363375663757]"
Random-7 equal mass-matched #12,random7_equal,7,0.6911354064941406,11.0,4.43955625,4.171389068116877,5.0,"[2, 3, 3, 6, 6, 6, 7, 7]","[1, 2, 3, 3, 6, 6, 6, 7]","[96, 98, 99, 104, 106, 107, 162]","[""00000110"", ""01000110"", ""11000110"", ""00010110"", ""01010110"", ""11010110"", ""01000101""]","[0.09873363375663757, 0.09873363375663757, 0.09873363375663757, 0.09873363375663757, 0.09873363375663757, 0.09873363375663757, 0.09873363375663757]"
Random-7 equal mass-matched #13,random7_equal,7,0.6911354064941406,4.79,4.54592734375,4.171389068116877,5.0,"[2, 3, 3, 6, 6, 6, 7, 7]","[1, 2, 3, 3, 6, 6, 6, 7]","[65, 66, 67, 73, 74, 75, 131]","[""10000010"", ""01000010"", ""11000010"", ""10010010"", ""01010010"", ""11010010"", ""11000001""]","[0.09873363375663757, 0.09873363375663757, 0.09873363375663757, 0.09873363375663757, 0.09873363375663757, 0.09873363375663757, 0.09873363375663757]"
Random-7 equal mass-matched #14,random7_equal,7,0.6911354064941406,52.14,2.8747226318359376,4.171389068116877,5.0,"[2, 3, 3, 6, 6, 6, 7, 7]","[1, 2, 3, 3, 6, 6, 6, 7]","[56, 240, 241, 242, 248, 249, 250]","[""00011100"", ""00001111"", ""10001111"", ""01001111"", ""00011111"", ""10011111"", ""01011111""]","[0.09873363375663757, 0.09873363375663757, 0.09873363375663757, 0.09873363375663757, 0.09873363375663757, 0.09873363375663757, 0.09873363375663757]"
Random-7 equal mass-matched #15,random7_equal,7,0.6911354064941406,19.8,4.3719583984375,4.171389068116877,5.0,"[2, 3, 3, 6, 6, 6, 7, 7]","[1, 2, 3, 3, 6, 6, 6, 7]","[69, 70, 71, 77, 78, 79, 143]","[""10100010"", ""01100010"", ""11100010"", ""10110010"", ""01110010"", ""11110010"", ""11110001""]","[0.09873363375663757, 0.09873363375663757, 0.09873363375663757, 0.09873363375663757, 0.09873363375663757, 0.09873363375663757, 0.09873363375663757]"
Random-7 equal mass-matched #16,random7_equal,7,0.6911354064941406,66.42,2.312593420410156,4.171389068116877,5.0,"[2, 3, 3, 6, 6, 6, 7, 7]","[1, 2, 3, 3, 6, 6, 6, 7]","[20, 212, 213, 214, 220, 221, 222]","[""00101000"", ""00101011"", ""10101011"", ""01101011"", ""00111011"", ""10111011"", ""01111011""]","[0.09873363375663757, 0.09873363375663757, 0.09873363375663757, 0.09873363375663757, 0.09873363375663757, 0.09873363375663757, 0.09873363375663757]"
Random-7 equal mass-matched #17,random7_equal,7,0.6911354064941406,16.88,4.25781328125,4.171389068116877,5.0,"[2, 3, 3, 6, 6, 6, 7, 7]","[1, 2, 3, 3, 6, 6, 6, 7]","[33, 34, 35, 41, 42, 43, 235]","[""10000100"", ""01000100"", ""11000100"", ""10010100"", ""01010100"", ""11010100"", ""11010111""]","[0.09873363375663757, 0.09873363375663757, 0.09873363375663757, 0.09873363375663757, 0.09873363375663757, 0.09873363375663757, 0.09873363375663757]"
Random-7 equal mass-matched #18,random7_equal,7,0.6911354064941406,22.44,4.01931669921875,4.171389068116877,5.0,"[2, 3, 3, 6, 6, 6, 7, 7]","[1, 2, 3, 3, 6, 6, 6, 7]","[13, 196, 197, 199, 204, 205, 207]","[""10110000"", ""00100011"", ""10100011"", ""11100011"", ""00110011"", ""10110011"", ""11110011""]","[0.09873363375663757, 0.09873363375663757, 0.09873363375663757, 0.09873363375663757, 0.09873363375663757, 0.09873363375663757, 0.09873363375663757]"
Random-7 equal mass-matched #19,random7_equal,7,0.6911354064941406,14.61,4.4619541015625,4.171389068116877,5.0,"[2, 3, 3, 6, 6, 6, 7, 7]","[1, 2, 3, 3, 6, 6, 6, 7]","[100, 164, 165, 166, 172, 173, 174]","[""00100110"", ""00100101"", ""10100101"", ""01100101"", ""00110101"", ""10110101"", ""01110101""]","[0.09873363375663757, 0.09873363375663757, 0.09873363375663757, 0.09873363375663757, 0.09873363375663757, 0.09873363375663757, 0.09873363375663757]"
Bottom-7 equal mass-matched,bottom7_equal,7,0.6911354064941406,42.43,2.9798898193359373,4.654648354687068,5.5,"[2, 3, 4, 7, 7, 7, 7, 7]","[1, 2, 3, 4, 7, 7, 7, 7]","[227, 229, 230, 233, 235, 237, 241]","[""11000111"", ""10100111"", ""01100111"", ""10010111"", ""11010111"", ""10110111"", ""10001111""]","[0.09873363375663757, 0.09873363375663757, 0.09873363375663757, 0.09873363375663757, 0.09873363375663757, 0.09873363375663757, 0.09873363375663757]"
Random-7 aggregate,random7_aggregate,7,,30.380000000000003,,,,,,,,
